State n = 1
0,0,0
2e-14,88.8577,7895.68
4e-14,177.715,31582.7
6e-14,266.573,71061.1
8e-14,355.43,126331
1e-13,444.288,197391
1.2e-13,533.145,284243
1.4e-13,622.002,386886
1.6e-13,710.858,505319
1.8e-13,799.715,639544
2e-13,888.571,789558
2.2e-13,977.426,955362
2.4e-13,1066.28,1.13696e+06
2.6e-13,1155.14,1.33434e+06
2.8e-13,1243.99,1.54751e+06
3e-13,1332.85,1.77648e+06
3.2e-13,1421.7,2.02123e+06
3.4e-13,1510.55,2.28177e+06
3.6e-13,1599.4,2.55809e+06
3.8e-13,1688.26,2.85021e+06
4e-13,1777.11,3.15811e+06
4.2e-13,1865.96,3.48179e+06
4.4e-13,1954.81,3.82127e+06
4.6e-13,2043.66,4.17653e+06
4.8e-13,2132.5,4.54757e+06
5e-13,2221.35,4.9344e+06
5.2e-13,2310.2,5.33701e+06
5.4e-13,2399.04,5.7554e+06
5.6e-13,2487.89,6.18958e+06
5.8e-13,2576.73,6.63953e+06
6e-13,2665.57,7.10527e+06
6.2e-13,2754.41,7.58679e+06
6.4e-13,2843.25,8.08409e+06
6.6e-13,2932.09,8.59717e+06
6.8e-13,3020.93,9.12602e+06
7e-13,3109.77,9.67065e+06
7.2e-13,3198.6,1.02311e+07
7.4e-13,3287.44,1.08072e+07
7.6e-13,3376.27,1.13992e+07
7.8e-13,3465.1,1.20069e+07
8e-13,3553.93,1.26304e+07
8.2e-13,3642.76,1.32697e+07
8.4e-13,3731.59,1.39248e+07
8.6e-13,3820.41,1.45956e+07
8.8e-13,3909.24,1.52821e+07
9e-13,3998.06,1.59845e+07
9.2e-13,4086.88,1.67026e+07
9.4e-13,4175.7,1.74365e+07
9.6e-13,4264.52,1.81861e+07
9.8e-13,4353.34,1.89515e+07
1e-12,4442.15,1.97327e+07
1.02e-12,4530.97,2.05296e+07
1.04e-12,4619.78,2.13423e+07
1.06e-12,4708.59,2.21708e+07
1.08e-12,4797.39,2.3015e+07
1.1e-12,4886.2,2.38749e+07
1.12e-12,4975,2.47506e+07
1.14e-12,5063.8,2.56421e+07
1.16e-12,5152.6,2.65493e+07
1.18e-12,5241.4,2.74723e+07
1.2e-12,5330.2,2.8411e+07
1.22e-12,5418.99,2.93655e+07
1.24e-12,5507.78,3.03357e+07
1.26e-12,5596.57,3.13216e+07
1.28e-12,5685.36,3.23233e+07
1.3e-12,5774.14,3.33407e+07
1.32e-12,5862.92,3.43739e+07
1.34e-12,5951.7,3.54228e+07
1.36e-12,6040.48,3.64874e+07
1.38e-12,6129.26,3.75678e+07
1.4e-12,6218.03,3.86639e+07
1.42e-12,6306.8,3.97757e+07
1.44e-12,6395.57,4.09033e+07
1.46e-12,6484.33,4.20466e+07
1.48e-12,6573.1,4.32056e+07
1.5e-12,6661.86,4.43804e+07
1.52e-12,6750.62,4.55708e+07
1.54e-12,6839.37,4.6777e+07
1.56e-12,6928.12,4.79989e+07
1.58e-12,7016.87,4.92365e+07
1.6e-12,7105.62,5.04898e+07
1.62e-12,7194.36,5.17589e+07
1.64e-12,7283.1,5.30436e+07
1.66e-12,7371.84,5.43441e+07
1.68e-12,7460.58,5.56602e+07
1.7e-12,7549.31,5.69921e+07
1.72e-12,7638.04,5.83397e+07
1.74e-12,7726.77,5.97029e+07
1.76e-12,7815.49,6.10819e+07
1.78e-12,7904.21,6.24765e+07
1.8e-12,7992.93,6.38869e+07
1.82e-12,8081.64,6.53129e+07
1.84e-12,8170.35,6.67547e+07
1.86e-12,8259.06,6.82121e+07
1.88e-12,8347.76,6.96852e+07
1.9e-12,8436.47,7.1174e+07
1.92e-12,8525.16,7.26784e+07
1.94e-12,8613.86,7.41985e+07
1.96e-12,8702.55,7.57344e+07
1.98e-12,8791.24,7.72858e+07
2e-12,8879.92,7.8853e+07
2.02e-12,8968.6,8.04358e+07
2.04e-12,9057.28,8.20343e+07
2.06e-12,9145.95,8.36484e+07
2.08e-12,9234.62,8.52782e+07
2.1e-12,9323.29,8.69237e+07
2.12e-12,9411.95,8.85848e+07
2.14e-12,9500.61,9.02616e+07
2.16e-12,9589.26,9.1954e+07
2.18e-12,9677.92,9.3662e+07
2.2e-12,9766.56,9.53857e+07
2.22e-12,9855.21,9.71251e+07
2.24e-12,9943.85,9.88801e+07
2.26e-12,10032.5,1.00651e+08
2.28e-12,10121.1,1.02437e+08
2.3e-12,10209.7,1.04239e+08
2.32e-12,10298.4,1.06056e+08
2.34e-12,10387,1.07889e+08
2.36e-12,10475.6,1.09738e+08
2.38e-12,10564.2,1.11603e+08
2.4e-12,10652.8,1.13483e+08
2.42e-12,10741.4,1.15378e+08
2.44e-12,10830,1.17289e+08
2.46e-12,10918.6,1.19216e+08
2.48e-12,11007.2,1.21159e+08
2.5e-12,11095.8,1.23117e+08
2.52e-12,11184.4,1.2509e+08
2.54e-12,11273,1.27079e+08
2.56e-12,11361.5,1.29084e+08
2.58e-12,11450.1,1.31105e+08
2.6e-12,11538.7,1.33141e+08
2.62e-12,11627.2,1.35192e+08
2.64e-12,11715.8,1.37259e+08
2.66e-12,11804.3,1.39342e+08
2.68e-12,11892.9,1.4144e+08
2.7e-12,11981.4,1.43554e+08
2.72e-12,12069.9,1.45683e+08
2.74e-12,12158.5,1.47828e+08
2.76e-12,12247,1.49989e+08
2.78e-12,12335.5,1.52165e+08
2.8e-12,12424,1.54357e+08
2.82e-12,12512.5,1.56564e+08
2.84e-12,12601.1,1.58787e+08
2.86e-12,12689.6,1.61025e+08
2.88e-12,12778.1,1.63279e+08
